Timestamp	Sensor	NIS
1477010454350000	R	1.48616
1477010454400000	L	0.673611
1477010454450000	R	3.04123
1477010454500000	L	0.476169
1477010454550000	R	1.17986
1477010454600000	L	2.30978
1477010454650000	R	0.76857
1477010454700000	L	0.969696
1477010454750000	R	2.07953
1477010454800000	L	3.87646
1477010454850000	R	2.21668
1477010454900000	L	0.0657014
1477010454950000	R	2.38236
1477010455000000	L	1.17013
1477010455050000	R	5.40924
1477010455100000	L	0.769132
1477010455150000	R	4.12665
1477010455200000	L	0.200193
1477010455250000	R	2.49103
1477010455300000	L	2.32775
1477010455350000	R	2.863
1477010455400000	L	0.155982
1477010455450000	R	4.23978
1477010455500000	L	2.04027
1477010455550000	R	1.54088
1477010455600000	L	0.55336
1477010455650000	R	0.762552
1477010455700000	L	1.77661
1477010455750000	R	1.52849
1477010455800000	L	1.5045
1477010455850000	R	1.94046
1477010455900000	L	1.16538
1477010455950000	R	4.03788
1477010456000000	L	0.0249912
1477010456050000	R	0.482958
1477010456100000	L	1.31628
1477010456150000	R	0.361094
1477010456200000	L	0.461839
1477010456250000	R	3.52011
1477010456300000	L	1.27785
1477010456350000	R	0.0528311
1477010456400000	L	5.44617
1477010456450000	R	1.2718
1477010456500000	L	3.77901
1477010456550000	R	5.89408
1477010456600000	L	1.58562
1477010456650000	R	5.72753
1477010456700000	L	1.41607
1477010456750000	R	5.57277
1477010456800000	L	4.00813
1477010456850000	R	3.78202
1477010456900000	L	2.28452
1477010456950000	R	2.73996
1477010457000000	L	1.58874
1477010457050000	R	1.333
1477010457100000	L	0.929274
1477010457150000	R	3.64107
1477010457200000	L	0.399496
1477010457250000	R	0.92918
1477010457300000	L	4.18649
1477010457350000	R	0.408178
1477010457400000	L	0.736821
1477010457450000	R	5.20472
1477010457500000	L	3.05676
1477010457550000	R	0.448601
1477010457600000	L	1.22454
1477010457650000	R	0.575774
1477010457700000	L	1.62064
1477010457750000	R	1.62224
1477010457800000	L	0.0863002
1477010457850000	R	2.99079
1477010457900000	L	2.38224
1477010457950000	R	0.388071
1477010458000000	L	0.0756443
1477010458050000	R	4.93155
1477010458100000	L	3.36274
1477010458150000	R	1.40575
1477010458200000	L	0.906673
1477010458250000	R	7.05277
1477010458300000	L	0.72267
1477010458350000	R	0.63218
1477010458400000	L	3.92523
1477010458450000	R	1.40285
1477010458500000	L	3.48133
1477010458550000	R	1.34013
1477010458600000	L	3.53395
1477010458650000	R	1.53308
1477010458700000	L	2.61249
1477010458750000	R	0.781498
1477010458800000	L	0.174842
1477010458850000	R	2.82658
1477010458900000	L	1.33815
1477010458950000	R	1.20482
1477010459000000	L	4.17301
1477010459050000	R	2.5718
1477010459100000	L	1.38144
1477010459150000	R	2.68733
